1,1,2,3,6,9,18,30,56,99,186,335,630,1161,2182,4080,7710,14532,27594,52377,99858,190557,364722,698870,1342176,2580795,4971008,9586395,18512790,35790267
1,2,6,15,42,107,294,780,2128,5781,15918,43885,122010,340323,954394,2685930,7588770,21507696,61144062,174283887,498012094,1426213191,4092816966,11767176070,33890202192,97761428205,282424564744,817018544745,2366546223930,6863001465941
1,3,12,42,156,554,2028,7350,26936,98874,365196,1353520,5039580,18831306,70626140,265741350,1002984060,3796211692,14406086604,54801192684,208932673508,798218225802,3055417434732,11716355452900,45002104729296,173117603693370,666917515250168,2572668463636440,9936611923253340,38423853747145578
1,4,20,90,420,1910,8820,40590,187880,871494,4057620,18945960,88738020,416787030,1962922276,9268287390,43868210820,208109782580,989400443220,4713395564772,22497100553820,107572434560790,515241748300020,2471798732124660,11875892958804336,57138943023223110,275280229570839080,1327887335169504720,6412975329204965220,31005655102713970198
1,5,30,165,930,5155,28830,161040,902720,5069589,28542630,161050835,910768530,5161460475,29311160114,166782545490,950807058330,5430291735960,31067697562230,178039547886057,1021910165808230,5874432624421935,33817795395588030,194949028817179010,1125290592242109744,6503523540321286605,37631103277056936920,217988903978854846695,1264116854202268871730,7338086571522605375029
1,6,42,273,1806,11809,77658,510510,3363976,22200003,146775426,972036065,6448332030,42847026081,285158434414,1900738536060,12688462031910,84825200605292,567870286598034,3806805381776943,25552805402017258,171736333778463237,1155609439870752762,7785118751274008690,52505533265361407616,354496100360936453115,2395884147942843726448,16208771226059831663205,109760693190565201167390,743942212365574904378907
1,7,56,420,3192,24052,181944,1376340,10429328,79125060,601146168,4573170280,34835907960,265701583188,2029120704184,15515127195540,118774664688120,910332489864616,6985068046867512,53656461875898336,412610770131915144,3176234329074664116,24475089696461945016,188782718809757899960,1457514529731727871712,11263229790982948944900,87116269513545332422544,674386663474485964674360,5224917212236529470191480,40513356633155252640309572
1,8,72,612,5256,44844,383688,3283380,28133616,241301628,2071920456,17809149000,153239231880,1319910232716,11380450665288,98221574116980,848551875645960,7337790918558072,63512448926165064,550237197601851840,4771219861650233208,41408360266635540972,359680100404078062792,3126836524741213680120,27204762233155817081376,236878862858500919047740,2064143902363363003250928,18000172139768142559723800,157082282494330079329628040,1371773941197688417674067260
1,9,90,855,8190,78045,745290,7118730,68064360,651317463,6238085490,59797499295,573702628590,5508800166285,52940591190942,509186234637180,4901342252960790,47216964671664060,455218330648789890,4392116726721492609,42408619565165829690,409783140806716810305,3962480951319456474090,38343064871767077613470,371284080492325896447552,3597650696567918021803695,34883343073961479248038160,338451870249020083556390715,3285857631129439833278565390,31920294724159433412344133951
1,10,110,1155,12210,128535,1355310,14294280,150883040,1593736353,16846515510,178202300045,1886362472610,19982130292575,211816544623618,2246858109325830,23849825205840810,253328739562972920,2692583707811291910,28637499745831128999,304773806869435743510,3245579517575202247395,34583923619792929228110,368738861491894689665870,3933882377355348881670768,41992986683565246913384185,448518303388886309840870840,4793212003803534081708659865,51252044730051433600497817410,548313408962880138043156540113
